x1,y1,z1,x2,y2,y3,y4,y5,y6,y7
0.554326,0.490123,0.554438,0.490275,1.044449,1.044561,1.044713,1.044601,1.108764,0.980398
0.5463,0.498497,0.546516,0.498699,1.044797,1.045013,1.045215,1.044999,1.092816,0.997196
0.501599,0.500032,0.501635,0.500076,1.001631,1.001667,1.001711,1.001675,1.003234,1.000108
0.499162,0.494285,0.499339,0.494598,0.993447,0.993624,0.993937,0.99376,0.998501,0.988883
0.498588,0.494657,0.49883,0.494888,0.993245,0.993487,0.993718,0.993476,0.997418,0.989545
0.496746,0.494614,0.497092,0.494898,0.99136,0.991706,0.99199,0.991644,0.993838,0.989512
0.49816,0.494292,0.49849,0.49456,0.992452,0.992782,0.99305,0.99272,0.99665,0.988852
0.500936,0.500486,0.501152,0.500741,1.001422,1.001638,1.001893,1.001677,1.002088,1.001227
0.500893,0.499745,0.501038,0.499956,1.000638,1.000783,1.000994,1.000849,1.001931,0.999701
0.501397,0.50058,0.501692,0.500827,1.001977,1.002272,1.002519,1.002224,1.003089,1.001407
0.501538,0.500197,0.501622,0.50031,1.001735,1.001819,1.001932,1.001848,1.00316,1.000507
0.500936,0.500322,0.501152,0.50054,1.001258,1.001474,1.001692,1.001476,1.002088,1.000862
0.501333,0.500949,0.501666,0.501301,1.002282,1.002615,1.002967,1.002634,1.002999,1.00225
0.495766,0.496733,0.496228,0.497196,0.992499,0.992961,0.993424,0.992962,0.991994,0.993929
0.501422,0.500102,0.501539,0.500197,1.001524,1.001641,1.001736,1.001619,1.002961,1.000299
0.501148,0.49967,0.50128,0.499829,1.000818,1.00095,1.001109,1.000977,1.002428,0.999499
0.501599,0.500076,0.501645,0.500143,1.001675,1.001721,1.001788,1.001742,1.003244,1.000219
0.501505,0.499991,0.50157,0.500102,1.001496,1.001561,1.001672,1.001607,1.003075,1.000093
0.502036,0.500393,0.50232,0.500566,1.002429,1.002713,1.002886,1.002602,1.004356,1.000959
0.501479,0.499907,0.501519,0.499991,1.001386,1.001426,1.00151,1.00147,1.002998,0.999898
0.501533,0.500076,0.50161,0.500143,1.001609,1.001686,1.001753,1.001676,1.003143,1.000219
0.50161,0.500092,0.501713,0.500143,1.001702,1.001805,1.001856,1.001753,1.003323,1.000235
0.501018,0.499566,0.501176,0.499745,1.000584,1.000742,1.000921,1.000763,1.002194,0.999311
0.501191,0.49987,0.501299,0.499989,1.001061,1.001169,1.001288,1.00118,1.00249,0.999859
0.50161,0.500015,0.501635,0.500052,1.001625,1.00165,1.001687,1.001662,1.003245,1.000067
0.501675,0.499992,0.501736,0.500052,1.001667,1.001728,1.001788,1.001727,1.003411,1.000044
0.501599,0.500052,0.501645,0.500092,1.001651,1.001697,1.001737,1.001691,1.003244,1.000144
0.501652,0.499992,0.501683,0.500052,1.001644,1.001675,1.001735,1.001704,1.003335,1.000044
0.501629,0.500006,0.501652,0.500023,1.001635,1.001658,1.001675,1.001652,1.003281,1.000029
0.50161,0.500003,0.501622,0.500032,1.001613,1.001625,1.001654,1.001642,1.003232,1.000035
0.50161,0.50001,0.501629,0.500032,1.00162,1.001639,1.001661,1.001642,1.003239,1.000042
0.501629,0.500015,0.501652,0.500052,1.001644,1.001667,1.001704,1.001681,1.003281,1.000067
0.501635,0.500023,0.501675,0.500052,1.001658,1.001698,1.001727,1.001687,1.00331,1.000075
0.501634,0.499938,0.501665,0.499966,1.001572,1.001603,1.001631,1.0016,1.003299,0.999904
0.501656,0.499966,0.501683,0.499992,1.001622,1.001649,1.001675,1.001648,1.003339,0.999958
0.557602,0.485549,0.557907,0.485763,1.043151,1.043456,1.04367,1.043365,1.115509,0.971312
0.556693,0.485794,0.556713,0.485836,1.042487,1.042507,1.042549,1.042529,1.113406,0.97163
0.541526,0.501068,0.541647,0.501148,1.042594,1.042715,1.042795,1.042674,1.083173,1.002216
0.541847,0.501122,0.541886,0.501177,1.042969,1.043008,1.043063,1.043024,1.083733,1.002299
0.541107,0.500517,0.541322,0.500716,1.041624,1.041839,1.042038,1.041823,1.082429,1.001233
0.543842,0.497438,0.544236,0.497852,1.04128,1.041674,1.042088,1.041694,1.088078,0.99529
0.541063,0.500935,0.541195,0.501135,1.041998,1.04213,1.04233,1.042198,1.082258,1.00207
0.542818,0.499026,0.543198,0.499234,1.041844,1.042224,1.042432,1.042052,1.086016,0.99826
0.541803,0.501158,0.541847,0.501189,1.042961,1.043005,1.043036,1.042992,1.08365,1.002347
0.541864,0.501177,0.541886,0.501207,1.043041,1.043063,1.043093,1.043071,1.08375,1.002384
0.54289,0.499234,0.543198,0.49949,1.042124,1.042432,1.042688,1.04238,1.086088,0.998724
0.54173,0.501156,0.541767,0.501197,1.042886,1.042923,1.042964,1.042927,1.083497,1.002353
0.542567,0.499215,0.542818,0.499437,1.041782,1.042033,1.042255,1.042004,1.085385,0.998652
0.556302,0.485947,0.556423,0.486036,1.042249,1.04237,1.042459,1.042338,1.112725,0.971983
0.540674,0.500909,0.540936,0.501119,1.041583,1.041845,1.042055,1.041793,1.08161,1.002028
0.541684,0.501156,0.541742,0.501202,1.04284,1.042898,1.042944,1.042886,1.083426,1.002358
0.541389,0.500612,0.541589,0.500829,1.042001,1.042201,1.042418,1.042218,1.082978,1.001441
0.540878,0.50049,0.541107,0.50072,1.041368,1.041597,1.041827,1.041598,1.081985,1.00121
0.55651,0.485764,0.556557,0.485831,1.042274,1.042321,1.042388,1.042341,1.113067,0.971595
0.542818,0.499234,0.543198,0.499459,1.042052,1.042432,1.042657,1.042277,1.086016,0.998693
0.54183,0.501122,0.54187,0.50116,1.042952,1.042992,1.04303,1.04299,1.0837,1.002282
0.543198,0.499234,0.543585,0.499493,1.042432,1.042819,1.043078,1.042691,1.086783,0.998727
0.552875,0.488915,0.553216,0.489219,1.04179,1.042131,1.042435,1.042094,1.106091,0.978134
0.556659,0.48565,0.556703,0.485707,1.042309,1.042353,1.04241,1.042366,1.113362,0.971357
0.541547,0.500982,0.541633,0.501068,1.042529,1.042615,1.042701,1.042615,1.08318,1.00205
0.540972,0.500716,0.541194,0.500935,1.041688,1.04191,1.042129,1.041907,1.082166,1.001651
0.541389,0.500744,0.541571,0.500898,1.042133,1.042315,1.042469,1.042287,1.08296,1.001642
0.544717,0.498753,0.545059,0.498957,1.04347,1.043812,1.044016,1.043674,1.089776,0.99771
0.539933,0.500892,0.540248,0.501162,1.040825,1.04114,1.04141,1.041095,1.080181,1.002054
0.540951,0.499881,0.541228,0.500123,1.040832,1.041109,1.041351,1.041074,1.082179,1.000004
0.541021,0.500123,0.541242,0.500334,1.041144,1.041365,1.041576,1.041355,1.082263,1.000457
0.541767,0.501158,0.541803,0.501194,1.042925,1.042961,1.042997,1.042961,1.08357,1.002352
0.540699,0.499987,0.540951,0.500246,1.040686,1.040938,1.041197,1.040945,1.08165,1.000233
0.541633,0.501,0.541709,0.501061,1.042633,1.042709,1.04277,1.042694,1.083342,1.002061
0.541843,0.501063,0.541914,0.501122,1.042906,1.042977,1.043036,1.042965,1.083757,1.002185
0.541886,0.501177,0.541923,0.501216,1.043063,1.0431,1.043139,1.043102,1.083809,1.002393
0.541364,0.501358,0.541513,0.501452,1.042722,1.042871,1.042965,1.042816,1.082877,1.00281
0.540754,0.502008,0.541133,0.502305,1.042762,1.043141,1.043438,1.043059,1.081887,1.004313
0.541092,0.501747,0.541293,0.501943,1.042839,1.04304,1.043236,1.043035,1.082385,1.00369
0.542345,0.501043,0.542532,0.501233,1.043388,1.043575,1.043765,1.043578,1.084877,1.002276
0.5416,0.501388,0.541677,0.501479,1.042988,1.043065,1.043156,1.043079,1.083277,1.002867
0.541803,0.501128,0.541847,0.50116,1.042931,1.042975,1.043007,1.042963,1.08365,1.002288
0.541958,0.501283,0.542134,0.501351,1.043241,1.043417,1.043485,1.043309,1.084092,1.002634
0.541944,0.501229,0.542016,0.501283,1.043173,1.043245,1.043299,1.043227,1.08396,1.002512
0.541989,0.501231,0.542134,0.501321,1.04322,1.043365,1.043455,1.04331,1.084123,1.002552
